Key,Issue Type,Parent,Summary,Status,Assignee,Description,Start date,Inferred start date,Due date,Inferred due date,Issue color
DCTP-1,Epic,,DB Creation,To Do,,,,6/3/2024,,6/6/2024,purple
DCTP-5,Task,DCTP-1,Familiarize with Protocol,To Do,Lead DM,"Lead DM completes familiarization with the protocol of a clinical trial: trial type (open, blind), randomization type, procedures performed to patients.",6/3/2024,6/3/2024,6/5/2024,6/5/2024,purple
DCTP-19,Task,DCTP-1,Create working group,To Do,Lead DM,"Lead DM creates a project working group (chat in Microsoft Teams) for prompt and efficient communication of the Project Teams (PM, Lead Monitor, Medical Expert, Lead Medical Monitor, Lead SAS-analyst).",6/3/2024,6/3/2024,6/3/2024,6/3/2024,purple
DCTP-6,Task,DCTP-1,Create test rand list,To Do,BS,Biostatistician creates test randomization list.,6/5/2024,6/5/2024,6/6/2024,6/6/2024,purple
DCTP-7,Task,DCTP-1,Integrate test rand list,To Do,Lead DM,Lead DM integrates test rand list into DB.,6/6/2024,6/6/2024,6/6/2024,6/6/2024,purple
DCTP-8,Task,DCTP-1,Prepare TS study DB creation,To Do,Lead DM,Lead DM prepares technical specification on study database creation and key initial technical database settings.,6/5/2024,6/5/2024,6/5/2024,6/5/2024,purple
DCTP-9,Task,DCTP-1,Approve TS study DB creation,To Do,"PM, ME, Head of DM","Lead DM sends TS for approval to Project Manager, Medical Expert and Head of DM Department.",6/5/2024,6/5/2024,6/6/2024,6/6/2024,purple
DCTP-10,Task,DCTP-1,Create test study DB,To Do,Lead DM,Lead DM creates study database according to TS on study db creation.,6/6/2024,6/6/2024,6/6/2024,6/6/2024,purple
DCTP-2,Epic,,DB settings,To Do,,,,6/6/2024,,6/14/2024,blue
DCTP-47,Task,DCTP-2,Create visit schedule,To Do,Lead DM,Lead DM creates in DB visit schedule according to the Study Protocol.,6/6/2024,6/6/2024,6/6/2024,6/6/2024,purple
DCTP-14,Task,DCTP-2,Create test sites and subjects,To Do,Lead DM,Lead DM creates in DB test sites and subjects (patients).,6/6/2024,6/6/2024,6/6/2024,6/6/2024,purple
